"orcId","givenName","lastName","email","contributions","accepted"
"0000-0001-7401-8877","Eva-Maria","Didden","",26,0
"0000-0001-7532-9191","Edmund","Tsui","",7,0
"0000-0001-8376-9752","Brian","Bucher","",11,0
"0000-0001-8730-8910","Nicole","Pratt","",53,0
"0000-0001-9110-9594","Kareem","Moussa","",7,0
"0000-0001-9381-4756","Karen","Armbrust","",7,0
"0000-0001-9467-6199","Rohan","Khera","",24,0
"0000-0001-9491-2737","Joel","Swerdel","",35,0
"0000-0001-9818-479X","Marc","Suchard","",77,0
"0000-0001-9990-8155","Andreas Weinberger","Rosen","",54,0
"0000-0002-0651-0613","Erica","Voss","",1,0
"0000-0002-0817-5361","Martijn","Schuemie","",77,0
"0000-0002-0847-6682","Anna","Ostropolets","",24,0
"0000-0002-2970-0778","Jenna","Reps","",64,0
"0000-0002-4243-155X","Asieh","Golozar","",8,0
"0000-0002-4449-8598","Jessica","Shantha","",7,0
"0000-0002-4949-7236","Gowtham","Rao","",550,14
"0000-0002-6662-5850","Rupesh","Agrawal","",7,0
"0000-0002-6976-2594","Azza","Shoaibi","",67,0
"0000-0002-9612-5697","Brian","Toy","",8,0
"0000-0002-9976-8989","William ","Rojas-Carabali","",7,0
"0000-0003-0755-5191","James","Weaver","",2,0
"0000-0003-1883-9018","Kiana","","",7,0
"0000-0003-2046-127X","Harlan","Krumholz","",77,0
"0000-0003-2682-2187","Jill","Hardin","",5,0
"0000-0003-4631-9992","Evan","Minty","",28,0
