"cohortId","cohortName","atlasId","description","createdDate","modifiedDate","librarian","cohortNameFormatted","lastModifiedBy","cohortNameLong","status","addedVersion","logicDescription","hashTag","contributors","contributorOrcIds","contributorOrganizations","peerReviewers","peerReviewerOrcIds","recommendedReferentConceptIds","ohdsiForumPost","replaces","notes","cohortNameAtlas","recommendedEraPersistenceDurations","recommendedEraCollapseDurations","recommendSubsetOperators","id","name"
2,"[W] COVID-19 diagnosis or SARS-CoV-2 test (1pos)",2,"cohortNameLong : COVID-19 diagnosis or SARS-CoV-2 test (1pos);
librarian : rao@ohdsi.org;
status : Withdrawn;
addedVersion : ;
logicDescription : Withdrawn by contributor before peer review;
hashTag : ;
contributors : ;
contributorOrcIds : ;
contributorOrganizations : ;
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 439676, 37311061;
ohdsiForumPost : ;
replaces : ;
","2021-09-22","2023-09-19","rao@ohdsi.org","COVID-19 diagnosis or SARS-CoV-2 test (1pos)",,"COVID-19 diagnosis or SARS-CoV-2 test (1pos)","Withdrawn","","Withdrawn by contributor before peer review","","","","","","","439676, 37311061","","",,,,,,2,2
3,"[P] Cough or Sputum",3,"cohortNameLong : Cough or Sputum;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : All events of cough or sputum finding;
hashTag : #Symptoms, #respiratory, #lung;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 254761;
ohdsiForumPost : https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895;
replaces : ;
","2021-09-22","2023-09-28","rao@ohdsi.org","Cough or Sputum",,"Cough or Sputum","Pending peer review","","All events of cough or sputum finding","#Symptoms, #respiratory, #lung","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","254761","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","",,,,,,3,3
4,"[P] Diarrhea",4,"cohortNameLong : Diarrhea;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : All events of diarrhea including Functional Diarrhea;
hashTag : #Symptoms;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 196523;
ohdsiForumPost : https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895;
replaces : ;
","2021-09-23","2023-09-25","rao@ohdsi.org","Diarrhea",,"Diarrhea","Pending peer review","","All events of diarrhea including Functional Diarrhea","#Symptoms","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","196523","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","",,,,,,4,4
5,"[P] Dyspnea",5,"cohortNameLong : Dyspnea;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : All events of dyspnea including difficulty breathing or abnormal breathing;
hashTag : #Symptoms, #respiratory, #lung;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 312437, 4041664;
ohdsiForumPost : https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895;
replaces : ;
","2021-09-23","2023-09-28","rao@ohdsi.org","Dyspnea",,"Dyspnea","Pending peer review","","All events of dyspnea including difficulty breathing or abnormal breathing","#Symptoms, #respiratory, #lung","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","312437, 4041664","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","",,,,,,5,5
6,"[P] Fever",6,"cohortNameLong : Fever;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : All events of fever or elevated temperature measurement;
hashTag : #Symptoms;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 437663, 4178904;
ohdsiForumPost : https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895;
replaces : ;
","2021-09-23","2023-09-25","rao@ohdsi.org","Fever",,"Fever","Pending peer review","","All events of fever or elevated temperature measurement","#Symptoms","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","437663, 4178904","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","",,,,,,6,6
7,"[P] Headache or Headache disorder",7,"cohortNameLong : Headache or Headache disorder;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : All events of Headache or headache disorder;
hashTag : #Symptoms;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 378253;
ohdsiForumPost : https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895;
replaces : ;
","2021-09-23","2023-09-25","rao@ohdsi.org","Headache or Headache disorder",,"Headache or Headache disorder","Pending peer review","","All events of Headache or headache disorder","#Symptoms","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","378253","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","",,,,,,7,7
8,"[P] Altered smell or taste including Anosmia, Hyposmia or Dysgeusia",8,"cohortNameLong : Altered smell or taste including Anosmia, Hyposmia or Dysgeusia;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : Altered smell or taste including Anosmia, Hyposmia or Dysgeusia;
hashTag : #Symptoms;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 43530714;
ohdsiForumPost : https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895;
replaces : ;
","2021-09-23","2023-09-25","rao@ohdsi.org","Altered smell or taste including Anosmia, Hyposmia or Dysgeusia",,"Altered smell or taste including Anosmia, Hyposmia or Dysgeusia","Pending peer review","","Altered smell or taste including Anosmia, Hyposmia or Dysgeusia","#Symptoms","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","43530714","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","",,,,,,8,8
9,"[P] Sore throat",9,"cohortNameLong : Sore throat;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : All events of Sore throat;
hashTag : #Symptoms;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 25297, 4226263;
ohdsiForumPost : https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895;
replaces : ;
","2021-09-23","2023-09-25","rao@ohdsi.org","Sore throat",,"Sore throat","Pending peer review","","All events of Sore throat","#Symptoms","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","25297, 4226263","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","",,,,,,9,9
10,"[P] Nausea or Vomiting",10,"cohortNameLong : Nausea or Vomiting;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : All events of Nausea or vomiting;
hashTag : #Symptoms;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 27674, 4101344;
ohdsiForumPost : https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895;
replaces : ;
","2021-09-23","2023-09-25","rao@ohdsi.org","Nausea or Vomiting",,"Nausea or Vomiting","Pending peer review","","All events of Nausea or vomiting","#Symptoms","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","27674, 4101344","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","",,,,,,10,10
11,"[P] Malaise and or fatigue",11,"cohortNameLong : Malaise and or fatigue;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : All events of Malaise and or fatigue;
hashTag : #Symptoms;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 439926, 4272240;
ohdsiForumPost : https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895;
replaces : ;
","2021-09-23","2023-09-25","rao@ohdsi.org","Malaise and or fatigue",,"Malaise and or fatigue","Pending peer review","","All events of Malaise and or fatigue","#Symptoms","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","439926, 4272240","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","",,,,,,11,11
12,"[P] Rhinitis or common cold or Sinusitis",12,"cohortNameLong : Rhinitis or common cold or Sinusitis;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : All events of Rhinitis or common cold;
hashTag : #Symptoms;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 257007, 4320791;
ohdsiForumPost : https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895;
replaces : ;
","2021-09-23","2023-09-25","rao@ohdsi.org","Rhinitis or common cold or Sinusitis",,"Rhinitis or common cold or Sinusitis","Pending peer review","","All events of Rhinitis or common cold","#Symptoms","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","257007, 4320791","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","",,,,,,12,12
13,"[P] Myalgia (not explained by injury, ischemia or systemic inflammation)",13,"cohortNameLong : Myalgia (not explained by injury, ischemia or systemic inflammation);
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : All events of Myalgia. Exclude persons with secondary causes of myalgia explained by injury, ischemia or chronic systemic inflammation;
hashTag : #Symptoms;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 442752, 4150129;
ohdsiForumPost : https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895;
replaces : ;
","2021-09-23","2023-09-25","rao@ohdsi.org","Myalgia (not explained by injury, ischemia or systemic inflammation)",,"Myalgia (not explained by injury, ischemia or systemic inflammation)","Pending peer review","","All events of Myalgia. Exclude persons with secondary causes of myalgia explained by injury, ischemia or chronic systemic inflammation","#Symptoms","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","442752, 4150129","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","",,,,,,13,13
14,"[P] Myalgia",14,"cohortNameLong : Myalgia;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : All events of Myalgia;
hashTag : #Symptoms;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 442752, 4150129;
ohdsiForumPost : https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895;
replaces : ;
","2021-09-23","2023-09-25","rao@ohdsi.org","Myalgia",,"Myalgia","Pending peer review","","All events of Myalgia","#Symptoms","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","442752, 4150129","https//forums.ohdsi.org/t/phenotype-submission-symptoms-and-signs/17895","",,,,,,14,14
15,"[P][R] Exposure to viral disease ",15,"cohortNameLong : Exposure to viral disease;
librarian : rao@ohdsi.org;
status : Pending peer review;
addedVersion : ;
logicDescription : all events of Exposure to viral disease. Persons exit on cohort end date;
hashTag : #Referent, #Observation;
contributors : Gowtham A. Rao;
contributorOrcIds : '0000-0002-4949-7236';
contributorOrganizations : 'OHDSI';
peerReviewers : ;
peerReviewerOrcIds : ;
recommendedReferentConceptIds : 37016200;
ohdsiForumPost : ;
replaces : ;
","2021-09-23","2023-09-19","rao@ohdsi.org","Exposure to viral disease",,"Exposure to viral disease","Pending peer review","","all events of Exposure to viral disease. Persons exit on cohort end date","#Referent, #Observation","Gowtham A. Rao","'0000-0002-4949-7236'","'OHDSI'","","","37016200","","",,,,,,15,15
