phenotypeId,webApiCohortId,cohortName,logicDescription,cohortId
133834000,17413,[PL 133834001] Atopic dermatitis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,"Persons with condition occurrence of referent concept (133834) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",133834001
133834000,17412,[PL 133834002] Atopic dermatitis referent concept prevalent cohort: First occurrence of referent concept + descendants,"Persons with condition occurrence of referent concept (133834) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",133834002
133834000,12800,"[PL 133834003] Atopic dermatitis (with exclusions of flexural, besniers, neuroderamatitis from concept set) at first diagnosis",Atopic dermatitis (has exclusions in concept set) at first diagnosis with 365 days continuous observation. Cohort exit is the end of continuous observable time for the person.,133834003
133834000,18408,[PL 133834004] Atopic dermatitis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation limited to pediatrics and Guselkumab exposure on or after,Atopic dermatitis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation limited to pediatrics and Guselkumab exposure on or after,133834004
133834000,17143,[PL 133834005] Atopic dermatitis and Eczema at first diagnosis,Atopic dermatitis and Eczema at first diagnosis with 365 days continous observation. Cohort exist is the end of continuous observation time for the person.,133834005
133834000,18858,[PL 133834006] Atopic Dermatitis Hsu 1,Atopic dermatitis Hsu (2017) 1+ codes,133834006
133834000,18859,[PL 133834007] Atopic Dermatitis Hsu 2,Atopic dermatitis Hsu (2017) 2+ codes,133834007
133834000,18860,[PL 133834008] Atopic Dermatitis Hsu 3,Atopic dermatitis Hsu (2017) 2+ codes Plus hay fever and/or asthma,133834008
133834000,18861,[PL 133834009] Atopic Dermatitis Hsu 4,Atopic dermatitis Hsu (2017) 2+ codes Plus hay fever or asthma and food allergy,133834009
133834000,18862,[PL 133834010] Atopic Dermatitis Hsu 5,Atopic dermatitis Hsu (2017) 1+ codes,133834010
133834000,18863,[PL 133834011] Atopic Dermatitis Hsu 6,Atopic dermatitis Hsu (2017) 2+ codes,133834011
133834000,18864,[PL 133834012] Atopic Dermatitis Hsu 7,Atopic dermatitis Hsu (2017) 2+ codes Plus hay fever and/or asthma,133834012
133834000,18865,[PL 133834013] Atopic Dermatitis Hsu 8,"Atopic dermatitis Hsu (2017) 2+ codes Plus hay fever, food allergy, and/or asthma",133834013
