phenotypeId,webApiCohortId,cohortName,oldCohortName,logicDescription,cohortId,referentConceptId,cohortType,PMID,oldPhenotypeId,referentConceptName
4094294000,17595,Neck pain referent incident cohort,[PL 24134001] Neck pain referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,"Persons with condition occurrence of referent concept (24134) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",24134001,24134,referent,,24134000,Neck pain
4094294000,17594,Neck pain referent prevalent cohort,[PL 24134002] Neck pain referent concept prevalent cohort: First occurrence of referent concept + descendants,"Persons with condition occurrence of referent concept (24134) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",24134002,24134,referent,,24134000,Neck pain
4094294000,18994,Neck pain (includes cervico-occipital neuralgia) design diagnostics 1 cohort,[PL 24134003] Neck pain cohort: First occurrence of 'neck pain' concept Without descendants,neck pain includes cervico-occipital neuralgia,24134003,24134,design diagnostics,,24134000,Neck pain
24609000,17523,Hypoglycemia referent incident cohort,[PL 24609001] Hypoglycemia referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,"Persons with condition occurrence of referent concept (24609) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",24609001,24609,referent,,24609000,Hypoglycemia
24609000,17522,Hypoglycemia referent prevalent cohort,[PL 24609002] Hypoglycemia referent concept prevalent cohort: First occurrence of referent concept + descendants,"Persons with condition occurrence of referent concept (24609) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",24609002,24609,referent,,24609000,Hypoglycemia
24609000,17831,Hypoglycemia disorder concept design diagnostics 1 cohort,[PL 24609003] 'Hypoglycemia disorder' incident cohort: First occurrence + descendants with >=365d prior observation,Hypoglycemic disorder at first diagnosis with 365 days continous observation. Cohort exist is the end of continous observable time for the person.,24609003,24609,design diagnostics,,24609000,Hypoglycemia
4043371000,17477,Eosinophilic esophagitis referent incident cohort,[PL 27918001] Eosinophilic esophagitis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,"Persons with condition occurrence of referent concept (27918) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",27918001,27918,referent,,27918000,Eosinophilic esophagitis
4043371000,17476,Eosinophilic esophagitis referent prevalent cohort,[PL 27918002] Eosinophilic esophagitis referent concept prevalent cohort: First occurrence of referent concept + descendants,"Persons with condition occurrence of referent concept (27918) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",27918002,27918,referent,,27918000,Eosinophilic esophagitis
4043371000,16908,Eosinophilic esophagitis with another occurrence in two years after - first time in persons history,[PL 27918003] Eosinophilic esophagitis with another occurrence in two years after - first time in persons history,Eosinophilic esophagitis at first diagnosis with 365 days continuous observation and a second diagnosis within 2 years. Cohort exit is the end of continuous observable time for the person.,27918003,27918,,,27918000,Eosinophilic esophagitis
4043371000,17481,Esophagitis referent incident cohort,[PL 30753001] Esophagitis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,"Persons with condition occurrence of referent concept (30753) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",30753001,30753,referent,,30753000,Esophagitis
