oldPhenotypeId,newPhenotypeId,phenotypeId,phenotypeName,referentConceptId,clinicalDescription,literatureReview,phenotypeNotes,deprecate
24134000,4094294000,24134000,Neck pain,24134,"Overview: [Deprecated in favor of Clinical Signs and Symptoms 4094294000] Musculoskeletal or neurological pain in the neck. Neck pain can have causes that aren't due to underlying disease. Presentation: Neck muscle tightness or spasms; decreased ability to move neck. Maybe associated with headache, neck tenderness, muscle weakness or numbness. Assessment: History and physical exam, imaging tests, electromyography (EMG for pinched nerve). Plan: Pain relivers, muscle relaxants, tricyclic antidepressants; physical therpay, Transcutaneous electrical nerve stimulation (TENS), short-term immobilization; corticosteroid injections, or surgery (if compression) Prognosis: Improves gradually with treatment. Seek immediate care if severe neck pain results from an injury, such as a motor vehicle accident, diving accident or fall.",,,Y
24609000,24609000,24609000,Hypoglycemia,24609,"Overview: A condition in which blood sugar (glucose) level is lower than normal. A fasting blood sugar of 70 milligrams per deciliter (mg/dL), or below should serve as an alert for hypoglycemia (some people can be asymptomatic). Hypoglycemia is often related to diabetes treatment. Presentation: Fatigue, pale, shakiness, sweating, anxieety, hunger, irritability (as hypoglycemia worses the syptmos get worse - confusion, visual disturbances, seizures, loss of consciousnessAssessment: blood glucose meter, or blood glucose level Plan: Involves quickly getting the glucose level back to normal either with high-sugar foods or drinks or with medications. Glucose tablets, glucose gel, Glucagon (if severe), changing diabetic medsPrognosis: Hypoglycemia is considered severe if you need help from someone to recover. Long-term treatment requires identifying and treating the cause of hypoglycemia.",,,
27918000,4043371000,27918000,Eosinophilic esophagitis,27918,"Overview: [Deprecate in favor of Inflammatory disorder of digestive tract, 4043371000] This is a chronic, immune/antigen-mediated, esophageal disease characterized clinically by symptoms related to esophageal dysfunction and histologically by eosinophil-predominant inflammation. Presentation: Adults and teenagers frequently present with dysphagia and food impactions. Children may have symptoms of feeding difficulties, gastroesophageal reflux symptoms, and abdominal pain. Dysphagia, food impaction, chest pain that is often centrally located and may not respond to antacids, symptoms of gastroesophageal reflux disease-like symptoms/refractory heartburn along with upper abdominal pain. Assessment: This is a diagnosis of exclusion, by excluding other causes of the symptoms along with upper endoscopy with esophageal biopsies showing histological findings of eosinophilia (eosinophil predominant inflammation on biopsy). Plan: Management involves dietary, pharmacologic and endoscopic interventions – using combination of elimination diets, acid suppression, topical steroids in esophageus, and esophageal dilatation in stricture. Prognosis: untreated patients may have progressive lifelong symptoms, that maybe episodic. Long-term natural history of disease is not established.",,,Y
30753000,4043371000,30753000,Esophagitis,30753,"Overview:  [Deprecate in favor of Inflammatory disorder of digestive tract, 4043371000] Inflammation that damages the esophagus (mouth to the stomach). Presentation: Painful, difficult swallowing and chest pain with eating. Heartburn, and acid regurgitation. Assessment: Presenting symptoms and history. Esophagitis can be caused by a number of different conditions affecting the digestive system. Tests include: barium xray and endoscopy. Plan: Treatments depend on the cause and severity of damage, can include medications and surgery. Lifestyle changes. Prognosis: Short-term, resolves within days to weeks",,,Y
31317000,4094294000,31317000,Dysphagia,31317,"Overview: [Deprecated in favor of Clinical Signs and Symptoms 4094294000] Swallowing difficulties, can range from mild difficulty to complete and painful blockage. Presentation: Coughing or chocking when eating or drinking, briging food back up or through the nose, drooling, frequent heatburn, gagging, aspiration pneumonia Assessment: History and physical, barium x-ray, swallowing study, endoscopy, manometry - more common in older adults. People with certain neurological or nervous system disorders are more likely to experience difficulty swallowing. Plan: Early detection and treatment of the identified causePrognosis: Sometimes the cause cannot be identified. Dependent on the cause of dysphagia and frequency.",,,Y
31967000,4094294000,31967000,Nausea,31967,"Overview: [Deprecated in favor of Clinical Signs and Symptoms 4094294000] A queasy sensation including an urge to vomit, and can occur without vomiting. Retching differs from vomiting in the absence of expulsion of gastric content. Patients may confuse vomiting with regurgitation, which is the return of esophageal contents to the hypopharynx with little effort.  Many causes of nausea - gastric rhythm disturbance is a peripheral mechanism underlying nausea from various causes. Common causes - drugs like opiod and cannabis, side effect of chemotherapy, gastrointestinal organic etiology e.g. cholelithiasis, bowel obstruction, gastroparesis, gastrointestinal bleeding. Neurologic etiology such as vestibular neuritis with vertigo, headache. Hormonal etiology such as in pregnancy. Infectious like gastroenteritis. Presentation: Uncomfortable, bothersome, disabling feeling in the chest, upper abdomen, or back of the throat. Assessment: Self-report.  Plan: Depends on the cause. Resting, eating bland foods, and avoiding strong stimuli to reduce nausea. OTC motion sickness medication may also help. Hydration. Drugs like metoclopramide, ondansetron, prochlorperazine, domperidone, erythromycin and droperidol. Prognosis: Usually acute and short-lived, but can be prolonged. If experience nausea in combination with other symptoms that may require medical attention.",,,Y
37436000,37436000,37436000,Disorder of optic nerve,374360,"Overview: optic nerve connects retinal ganglion cells to visual nuclei, and is considered an extension of CNS and not a peripheral nerve with four segments (intraocular/optic disc, intraorbial, optic foramen, intracranial part. Presentation: optic nerve lesions produce monocular visual loss usually associated with afferent pupillary defect, central vision loss (scotoma), dyschromatopsia, papillitis/optic neuritis, optic atrophy. Optic neuritis ON (in young) and ischemic optic neuropathy ION (older, > 50) are two most common optic nerve disease. Anterior ION (optic disc) & Posterior ION (retrobulbar). Nonarteritic ION is the most common ION, and can be AION or PION. AION is common with giant cell arteritis and > 70 yr. Optic neuritis is an inflammatory, demyelinating condition that is highly associated with multiple sclerosis (MS), some ON are associated with infections - west nile, cat scratch, toxoplasmosis or may be a complication of meningitis, or vasculitis. Postviral optic neuritis has been associated with measles, mumps, chickenpox, influenza, and Epstein-Barr virus, typically follow clinical infection by 1 to 3 weeks - more common in children and often bilateral. Bilateral ON may occur in GB syndrome. Sarcoidosis may be associated with ON - often bilateral. Chronic relapsing inflammatory optic neuropathy (CRION)is rare, relapsing autoimmune optic neuritis without know causes like sarcoidosis, lupus, MS, etc. Compressive optic neuropathies are slowly progressing vision loss due to compression from neoplasia or other mass in region.  ON may be genetic - Leber and Kjer's. Drugs and toxins may cause ON - e.g ethambutol, and potentially infliximab, sildenafil, amiodarone.  Presentation: maybe acute, sub-acute or chronic and is different based on etiology. NION is commonly acute, monoocular, painless visual loss with optic disc swelling. ON is acute, painful, monocular visual loss in younger (18 to 40 y) - that evolves over several days. Assessment: opthalmologic exam and MRI is usually essential. Gadolinimum MRI shows lesion in 90% of ON, but does not show in ION. Plan: no effective treatment for ION. ON may be management with methylprednisolone. Prognosis: IONs have poor prognosis compared to ON.",,,
73553000,73553000,73553000,Arthropathy,73553,Overview: Presentation: Assessment: Plan: Prognosis:,,To do,
75860000,4094294000,75860000,Constipation,75860,"Overview: [Deprecated in favor of Clinical Signs and Symptoms 4094294000] Constipation is presence for atleast 3 months of straining, lumpy hard stools, sensation of incomplete evacuation, use of digital maneuvers, sensation of anorectal obstruction or blockage. It is a deviation from normal stooling pattern which has variable definition based on persons age. Presentation: Commonly self reported, and associated with abdominal pain, bloating and discomfort. Assessment: Rule out organic causes. Constipation is most commonly functional in nature. Can be medication-induced constipation (from opioids, NSAIDs, iron supplements, etc) Plan: Education, biofeedback, drinking more fluids, high-fiber foods, stool softeners and laxatives. Prognosis: Acute and treatable using stool softeners and laxatives.",,,Y
76685000,4027537000,76685000,Myasthenia gravis,76685,"Overview: [Deprecate in favor of Neuromuscular junction disorder 4027537000] The most common acquired disorder of neuromuscular transmission. Autoimmune. Two major types: ocular (eye muscles and eyelids involved) and generalized disease (ocular, bulbar, limb and/or respiratory muscles involved) Presentation: Fluctuating skeletal muscle weakness which worsens later in the day and after exercise. Double vision or ptosis (weakness of the eyelid muscles). Difficulty speaking swallowing or fatigue with chewing. Difficulty smiling. weak neck muscles. Severe cases involve weakness of respiratory muscles. Assessment: serum antibodies to acetylcholine receptor (AChR), muscle specific receptor tyrosine kinase (muSK) or lipoprotein receptor related protein 4 (LPR4). One half of patients with MG are seropositive for one of these antibodies. Chest CT to evaluate for thymoma (neoplasm of the thymus, which is a fetal remnant initially responsible for maturation of T cells). EMG. Plan: Pyridostigmine (inhibits breakdown of ACh by the acetylcholinesterase so nerves work better) steroids and NSAIDs, short acting therapies such as plasma exchange and IVIG. Thymectomy as a last resort (surgery to remove thymus). Avoid drugs which exacerbate symptoms (fluorquinolone antibiotics, careful use of anesthesia agents, magnesium sulfate, checkpoint inhibitors). Respiratory infections can exacerbate MS, so annual flu vaccination and q5-10 year pneumonia vaccination recommended. AVOID LIVE ATTENUATED VACCINES. Prognosis: Symptoms are initially transient with symptom free intervals. Symptoms typically worsen over time and reach their worst within 3 years. Can be fatal if respiratory muscle involvement is not addressed.",,,Y
