cohortName,ruleSequence,ruleName,cohortId
1009,0,No prior mania,1009
1009,1,No prior dementia,1009
1009,2,No prior psychosis,1009
1021,0,Age >= 18 years ,1021
1032,0,no Type 1 diabetes mellitus diagnosis on or prior to T2DM,1032
1032,1,no secondary diabetes diagnosis on or prior to T2DM,1032
1032,2,has at least one diagnosis of T2DM on or within 365d of index date,1032
1034,0,30 day clean window,1034
1046,0,nested in essential hypertension,1046
1047,0,nested in essential hypertension,1047
1049,0,nested in essential hypertension,1049
1050,0,nested in Left Heart Failure,1050
1051,0,nested in Left Heart Failure,1051
1052,0,nested in Acute myocardial infarction,1052
1053,0,nested in type 2 diabetes mellitus,1053
1054,0,nested in Type 2 diabetes mellitus,1054
1055,0,nested in type 2 diabetes mellitus,1055
1056,0,nested in obesity,1056
1057,0,nested in Plaque psoriasis,1057
1058,0,nested in Plaque psoriasis,1058
1059,0,nested in Psoriatic Arthritis,1059
1060,0,nested in Urinary Tract Infection,1060
1061,0,nested in Urinary Tract Infection,1061
1062,0,nested in Urinary Tract Infection,1062
1063,0,nested in Acute Typical Pneumonia,1063
1064,0,nested in Acute Typical Pneumonia,1064
1065,0,nested in Acute Typical Pneumonia,1065
1066,0,nested in Rheumatoid arthritis,1066
1067,0,nested in Ulcerative colitis,1067
1068,0,nested in Ulcerative colitis,1068
1069,0,nested in Crohns disease,1069
1070,0,nested in Rheumatoid arthritis,1070
1072,0,Evidence of cytomegalovirus infection in the eye,1072
1072,1,no retinitis [conditions],1072
1072,2,no syphilis [measurements],1072
1072,3,"no sarcoidosis [conditions, observations]",1072
1072,4,no HSV AC PCR [measurements],1072
1072,5,no VZV AC PCR [measurements],1072
1075,0,has no events in prior 'clean window' - 365 days,1075
1076,0,has no events in prior 'clean window' - 30 days,1076
1077,0,has no events in prior 'clean window' - 30 days,1077
1078,0,has no events in prior 'clean window' 183 days,1078
1079,0,has no events in prior 'clean window' 183 days,1079
1080,0,has no events in prior 'clean window',1080
1081,0,has no events in prior 'clean window' - 365 days,1081
1082,0,has no events in prior 'clean window' - 365 days,1082
1083,0,has no events in prior 'clean window' - 365 days,1083
1084,0,has no events in prior 'clean window' - 365 days,1084
1085,0,has no events in prior 'clean window' - 365 days,1085
1086,0,has no events in prior 'clean window' - 365 days,1086
1087,0,has no events in prior 'clean window' - 365 days,1087
1088,0,has no events in prior 'clean window' - 365 days,1088
1089,0,has no events in prior 'clean window' - 365 days,1089
1090,0,has no events in prior 'clean window' - 365 days,1090
1091,0,Thrombocytopenia within 7 days of thrombosis with no such event in the past 90 days (clean window) ,1091
1091,1,Thrombosis clean window period (-365 days),1091
1093,0,Age above 18 years,1093
1093,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1093
1093,2,Atrial fibrillation (any) within 14d of surgery,1093
1093,3,No prior atrial fibrillation ,1093
1094,0,Age above 18 years,1094
1094,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1094
1094,2,Atrial fibrillation (any) within 14d of surgery,1094
1094,3,No prior atrial fibrillation ,1094
1095,0,Age above 18 years,1095
1095,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1095
1095,2,Atrial fibrillation (any) within 14d of surgery,1095
1095,3,No prior atrial fibrillation ,1095
1096,0,Age above 18 years,1096
1096,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1096
1096,2,Atrial fibrillation (any) within 14d of surgery,1096
1096,3,No prior atrial fibrillation ,1096
1097,0,Age above 18 years,1097
1097,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1097
1097,2,Atrial fibrillation (any) within 14d of surgery,1097
1097,3,No prior atrial fibrillation ,1097
1098,0,Age above 18 years,1098
1098,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1098
1098,2,Atrial fibrillation (any) within 14d of surgery,1098
1098,3,No prior atrial fibrillation ,1098
1099,0,Age above 18 years,1099
1099,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1099
1099,2,Atrial fibrillation (any) within 14d of surgery,1099
1099,3,No prior atrial fibrillation ,1099
1100,0,Age above 18 years,1100
1100,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1100
1100,2,Atrial fibrillation (any) within 14d of surgery,1100
1100,3,No prior atrial fibrillation ,1100
1101,0,Age above 18 years,1101
1101,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1101
1101,2,Atrial fibrillation (any) within 14d of surgery,1101
1101,3,No prior atrial fibrillation ,1101
1102,0,Age above 18 years,1102
1102,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1102
1102,2,Atrial fibrillation (any) within 14d of surgery,1102
1102,3,No prior atrial fibrillation ,1102
1103,0,Age above 18 years,1103
1103,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1103
1103,2,Atrial fibrillation (any) within 14d of surgery,1103
1103,3,No prior atrial fibrillation ,1103
1104,0,No prior transfusion in last 30d,1104
1105,0,No c diff (condition) in history,1105
1105,1,No c diff (by measurement) in history,1105
1106,0,Age above 18 years,1106
1106,1,Inpatient visit on day of surgery without ER visit immediately on or prior,1106
1106,2,"No prior opioid in last year, up to 30d prior to Sgx",1106
1129,0,Soiltary Lung Nodule,1129
1130,0,Multiple Lung Nodule,1130
1152,0,has no events in prior 'clean window' - 365 days,1152
1153,0,has no events in prior 'clean window' - 42 days,1153
1155,0,has no events in prior 'clean window' - 365 days,1155
1156,0,has no events in prior 'clean window' - 365 days,1156
1159,0,no Angina in prior 30 days,1159
1163,0,Washout period with no AKI codes,1163
1163,1,No ESKD at baseline,1163
1163,2,No chronic dialysis at baseline (-365 to 8 days) ,1163
1163,3,No Kidney Transplant any time prior ,1163
1168,0,365 washout period,1168
1176,0,180 day washout,1176
1177,0,365 washout period,1177
1186,0,30 day washout,1186
1188,0,No normal Hemoglobin measurement in blood on index date,1188
1188,1,No normal Hematocrit measurement in blood on index date,1188
1188,2,No Polycythemia on index date,1188
1193,0,no Type 2 diabetes mellitus specific diagnosis on or prior to T1DM,1193
1193,1,no secondary diabetes diagnosis on or prior to T1DM,1193
1194,0,no Type 1 diabetes mellitus diagnosis on or prior to T2DM,1194
1194,1,no secondary diabetes diagnosis on or prior to T2DM,1194
1195,0,No prior Dyspnea in 30 days,1195
1196,0,30 day washout,1196
1197,0,45 day washout period ,1197
1199,0,180 day washout period,1199
1216,0,Another neoplasm of lung code within 365 days,1216
1216,1,SCLC drugs exclusion,1216
1216,2,SCLC diagnosis exclusion ,1216
1216,3,SCLC observations exclusion,1216
1216,4,No Upper respiratory tract Neoplasm,1216
1217,0,No Malignant neoplasm of upper respiratory tract,1217
1217,1,SCLC drugs exclusion,1217
1217,2,SCLC diagnosis exclusion ,1217
1217,3,SCLC observations exclusion,1217
1218,0,no acute bronchitis in prior 30d,1218
1223,0,"no syphilis [condition,measurements]",1223
1223,1,"no sarcoidosis [conditions, observations]",1223
1223,2,no ocular lymphoma[condition],1223
1224,0,Evidence of cytomegalovirus infection in the eye,1224
1224,1,no retinitis [conditions],1224
1224,2,no syphilis [measurements],1224
1224,3,"no sarcoidosis [conditions, observations]",1224
1224,4,no HSV AC PCR [measurements],1224
1224,5,no VZV AC PCR [measurements],1224
1225,0,Evidence of varicella zoster virus infection in the eye,1225
1225,1,no retinitis [conditions],1225
1225,2,no syphilis [measurements],1225
1225,3,"no sarcoidosis [conditions, observations]",1225
1225,4,no HSV AC PCR [measurements],1225
1225,5,no CMV AC PCR [measurements],1225
1225,6,"no bilateral uveitis except with VZV PCR+ [conditions, measurements]",1225
1226,0,Evidence of varicella zoster virus infection in the eye,1226
1226,1,no retinitis [conditions],1226
1226,2,no syphilis [measurements],1226
1226,3,"no sarcoidosis [conditions, observations]",1226
1226,4,no HSV AC PCR [measurements],1226
1226,5,no CMV AC PCR [measurements],1226
1226,6,"no bilateral uveitis except with VZV PCR+ [conditions, measurements]",1226
1227,0,Evidence of herpes simplex infection in the eye,1227
1227,1,no retinitis [conditions],1227
1227,2,no syphilis [measurements],1227
1227,3,"no sarcoidosis [conditions, observations]",1227
1227,4,no CMV AC PCR [measurements],1227
1227,5,no VZV AC PCR [measurements],1227
1227,6,"no bilateral uveitis except with HSV PCR+ [conditions, measurements]",1227
1227,7,no concomitant dermatomal/cutaneous varicella zoster virus [conditions],1227
1228,0,Evidence of herpes simplex infection in the eye,1228
1228,1,no retinitis [conditions],1228
1228,2,no syphilis [measurements],1228
1228,3,"no sarcoidosis [conditions, observations]",1228
1228,4,no CMV AC PCR [measurements],1228
1228,5,no VZV AC PCR [measurements],1228
1228,6,"no bilateral uveitis except with HSV PCR+ [conditions, measurements]",1228
1228,7,no concomitant dermatomal/cutaneous varicella zoster virus [conditions],1228
1229,0,Behcet oral or genital aphthous ulcer/aphthosis [conditions],1229
1229,1,"Behcet ICBD other systemic finding [conditions, observations, measurements]",1229
1229,2,no syphilis [measurements],1229
1229,3,"no sarcoidosis [conditions, observations]",1229
1229,4,no choroiditis [conditions],1229
13,0,"Exclude persons with muscle pain that may be explained by injury, ischemia or chronic systemic inflammation",13
134,0,has at least one condition record of ADHD,134
19,0,Exclude if concomitant non acute pneumonia,19
207,0,No congenital or genetic anemia,207
