phenotypeId,webApiCohortId,cohortName,logicDescription,cohortId
197494000,17709,[PL 197494001] Viral hepatitis C referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,"Persons with condition occurrence of referent concept (197494) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",197494001
197494000,17708,[PL 197494002] Viral hepatitis C referent concept prevalent cohort: First occurrence of referent concept + descendants,"Persons with condition occurrence of referent concept (197494) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",197494002
197494000,17757,[PL 197494003] Hepatitis C prevalent cohort:  First condition occurrence of 'Hepatitis C' conceptset,NA,197494003
197494000,17829,"[PL 197494004] Hepatitis C prevalent cohort:  First condition occurrence of 'Hepatitis C' conceptset (with Viral Hepatitis Carrier, Cirrhosis of liver due to chronic hepatitis C)",NA,197494004
197494000,16848,[PL 197494005] Cirrhosis with Prior Hepatitis C (1 IP or 2 OP)  Replicating Niu using 'Hepatitis C' conceptset (with Viral Hepatitis Carrier),NA,197494005
197494000,17836,[PL 197494006] Viral hepatitis C referent concept prevalent cohort: First occurrence of referent concept + descendants (including non-specific parent concepts),NA,197494006
197494000,17881,[PL 197494007] Cirrhosis with Prior Hepatitis C (1 IP and 2 OP) Replicating Niu using 'Hepatitis C' conceptset (with Viral Hepatitis Carrier),NA,197494007
197494000,18817,[PL 197494008] Hepatitis C Niu 2,"Viral Hepatitis C Niu (2016) 2+ codes In-patient or 2+ codes out-patient within 365 D of cirrhosis (1+ codes inpatient or 2+ codes outpatient ICD-9-CM codes for cirrhosis:  ICD-9-CM-571.2, 571.5)",197494008
197494000,18818,[PL 197494009] Hepatitis C Niu 3,"Viral Hepatitis C Niu (2016) 1+ codes In-patient AND 2+ codes out-patient within 365 D of cirrhosis (1+ codes inpatient or 2+ codes outpatient ICD-9-CM codes for cirrhosis:  ICD-9-CM-571.2, 571.5)",197494009
197494000,18819,[PL 197494010] Hepatitis C Re 1,Viral Hepatitis C Re (2009) 1+ codes,197494010
197494000,18816,[PL 197494011] Hepatitis C Niu 1,"Viral Hepatitis C Niu (2016) 1+ codes In-patient or 2+ codes out-patient within 365 D of cirrhosis (1+ codes inpatient or 2+ codes outpatient ICD-9-CM codes for cirrhosis:  ICD-9-CM-571.2, 571.5)",197494011
