phenotypeId,webApiCohortId,cohortName,logicDescription,cohortId,referentConceptId,cohortType,PMID
378416000,17389,Age related macular degeneration referent incident cohort,"Persons with condition occurrence of referent concept (374028) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",374028001,374028,referent,
378416000,17388,Age related macular degeneration referent prevalent cohort,"Persons with condition occurrence of referent concept (374028) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",374028002,374028,referent,
378416000,17659,Retinal detachment referent incident cohort,"Persons with condition occurrence of referent concept (378414) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",378414001,378414,referent,
378416000,17658,Retinal detachment referent prevalent cohort,"Persons with condition occurrence of referent concept (378414) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",378414002,378414,referent,
378416000,17661,Retinal disorder referent incident cohort,"Persons with condition occurrence of referent concept (378416) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",378416001,378416,referent,
378416000,17660,Retinal disorder referent prevalent cohort,"Persons with condition occurrence of referent concept (378416) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",378416002,378416,referent,
378416000,17663,Retinopathy due to diabetes mellitus referent incident cohort,"Persons with condition occurrence of referent concept (4174977) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",4174977001,4174977,referent,
378416000,17662,Retinopathy due to diabetes mellitus referent prevalent cohort,"Persons with condition occurrence of referent concept (4174977) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",4174977002,4174977,referent,
378416000,17459,Degeneration of retina referent incident cohort,"Persons with condition occurrence of referent concept (4318985) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",4318985001,4318985,referent,
378416000,17458,Degeneration of retina referent prevalent cohort,"Persons with condition occurrence of referent concept (4318985) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",4318985002,4318985,referent,
