phenotypeId,webApiCohortId,cohortName,logicDescription,cohortId
80809000,17665,[PL 80809001] Rheumatoid arthritis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,"Persons with condition occurrence of referent concept (80809) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",80809001
80809000,17664,[PL 80809002] Rheumatoid arthritis referent concept prevalent cohort: First occurrence of referent concept + descendants,"Persons with condition occurrence of referent concept (80809) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",80809002
80809000,2538,[PL 80809003] Rheumatoid arthritis at first diagnosis (no history of Rheumatoid arthritis),Rheumatoid Arthritis at first diagnosis with 365 days continuous observation. Cohort exit is the end of continuous observable time for the person.,80809003
80809000,18790,[PL 80809004] Rheumatoid Arthritis Hanly 1,Rheumatoid Arthritis Hanly (2015) 1+ codes,80809004
80809000,18791,[PL 80809005] Rheumatoid Arthritis Hanly 2,Rheumatoid Arthritis Hanly (2015) 2+ codes least 2 months apart,80809005
80809000,18792,[PL 80809006] Rheumatoid Arthritis Hanly 3,"Rheumatoid Arthritis Hanly (2015) 1+ codes, in-patient",80809006
80809000,18793,[PL 80809007] Rheumatoid Arthritis Ng 1,Rheumatoid Arthritis Ng (2012) 2+ codes,80809007
80809000,18794,[PL 80809008] Rheumatoid Arthritis Ng 2,Rheumatoid Arthritis Ng (2012) 2+ codes with at least one RA codes in a rheumatologist visit,80809008
80809000,18795,[PL 80809009] Rheumatoid Arthritis Ng 3,Rheumatoid Arthritis Ng (2012) 2+ codes with at least one rheumatology visit and with the last rheumatologist visit with a RA code,80809009
80809000,18796,[PL 80809010] Rheumatoid Arthritis Ng 4,Rheumatoid Arthritis Ng (2012) 2+ codes with 180D+ DMARD therapy,80809010
80809000,18797,[PL 80809011] Rheumatoid Arthritis Ng 5,Rheumatoid Arthritis Ng (2012) 2+ codes with at least one RA codes in a rheumatologist visit with 180D+ DMARD therapy,80809011
80809000,18798,[PL 80809012] Rheumatoid Arthritis Ng 6,Rheumatoid Arthritis Ng (2012) 2+ codes with at least one rheumatology visit and with the last rheumatologist visit with a RA codes with 180D+ DMARD therapy,80809012
80809000,18799,[PL 80809013] Rheumatoid Arthritis Widdifield 1,Rheumatoid Arthritis Widdifield (2014) 1+ codes,80809013
80809000,18800,[PL 80809014] Rheumatoid Arthritis Widdifield 2,"Rheumatoid Arthritis Widdifield (2014) 1+ codes, in-patient",80809014
80809000,18801,[PL 80809015] Rheumatoid Arthritis Widdifield 3,"Rheumatoid Arthritis Widdifield (2014) 1+ codes ever by a specialist (rheumatologist, internal medicine, orthopedic surgeon)",80809015
80809000,18802,[PL 80809016] Rheumatoid Arthritis Widdifield 4,Rheumatoid Arthritis Widdifield (2014) 2+ codes in 1 year,80809016
