phenotypeId,webApiCohortId,cohortName,logicDescription,cohortId,referentConceptId,cohortType,PMID,oldPhenotypeId,referentConceptName
201606000,17455,[PL 201606001] Crohn's disease referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,"Persons with condition occurrence of referent concept (201606) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",201606001,201606,referent,NA,201606000,Crohn's disease
201606000,17454,[PL 201606002] Crohn's disease referent concept prevalent cohort: First occurrence of referent concept + descendants,"Persons with condition occurrence of referent concept (201606) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",201606002,201606,referent,NA,201606000,Crohn's disease
201606000,15078,[PL 201606003] Crohn's disease for first time with no history (Thirumurthi),"Crohn's disease (validated concept set) at first diagnosis with 365 days continuous observation, with no history of crohn's disease. Cohort exit is the end of continuous observable time for the person.",201606003,201606,literature,NA,201606000,Crohn's disease
201606000,16402,[PL 201606004] Crohn's disease for first time with 5 occurrences in 4 years after and no history of code (Benchimol),"Crohn's disease (validated concept set) at first diagnosis with 365 days continuous observation, with no history of crohn's disease, and atleast 4 visits in 4 years. Cohort exit is the end of continuous observable time for the person.",201606004,201606,literature,NA,201606000,Crohn's disease
201606000,18820,[PL 201606005] Crohns Disease Ananthakrishnan 1,Crohns Disease Ananthakrishnan (2013) 1+ codes,201606005,201606,literature,NA,201606000,Crohn's disease
201606000,18821,[PL 201606006] Crohns Disease Ananthakrishnan 2,Crohns Disease Ananthakrishnan (2013) 5+ codes,201606006,201606,literature,NA,201606000,Crohn's disease
201606000,18822,[PL 201606007] Crohns Disease Ananthakrishnan 3,Crohns Disease Ananthakrishnan (2013) 1+ codes + endoscopy,201606007,201606,literature,NA,201606000,Crohn's disease
201606000,18823,[PL 201606008] Crohns Disease Ananthakrishnan 4,Crohns Disease Ananthakrishnan (2013) 4+ codes out-patient or 2+ codes in-patient,201606008,201606,literature,NA,201606000,Crohn's disease
201606000,18824,[PL 201606009] Crohns Disease Stepaniuk 1,Crohns Disease Stepaniuk (2015) 1+ codes In-patient,201606009,201606,literature,NA,201606000,Crohn's disease
201606000,18825,[PL 201606010] Crohns Disease Thirumurthi 1,Crohns Disease Thirumurthi (2010) 1+ codes In-patient,201606010,201606,literature,NA,201606000,Crohn's disease
