phenotypeId,webApiCohortId,cohortName,logicDescription,cohortId,referentConceptId,cohortType,PMID
4185932000,17379,Acute myocardial infarction referent incident cohort,"Persons with condition occurrence of referent concept (312327) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",312327001,312327,referent,
4185932000,17378,Acute myocardial infarction referent prevalent cohort,"Persons with condition occurrence of referent concept (312327) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",312327002,312327,referent,
4185932000,17753,"Acute myocardial infarction events, defined by condition occurrences of Acute myocardial Infarction conceptset occurring between start and end of inpatient or ER visit","Episodes of Acute myocardial infarction events, defined by condition occurrences of 'Acute myocardial Infarction' conceptset occurring between start and end of inpatient or ER visit. Exit criteria 7 days after start of index event.",312327003,312327,,
4185932000,18935,"Acute myocardial infarction events, defined by condition occurrences of Acute myocardial Infarction conceptset","Acute myocardial infarction events, defined by condition occurrences of 'Acute myocardial Infarction' conceptset",312327004,312327,,
4185932000,18742,Coronary arteriosclerosis referent incident cohort,"Persons with condition occurrence of referent concept (317576) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",317576001,317576,referent,
4185932000,18741,Coronary arteriosclerosis referent prevalent cohort,"Persons with condition occurrence of referent concept (317576) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",317576002,317576,referent,
4185932000,17401,Angina pectoris referent incident cohort,"Persons with condition occurrence of referent concept (321318) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",321318001,321318,referent,
4185932000,17400,Angina pectoris referent prevalent cohort,"Persons with condition occurrence of referent concept (321318) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",321318002,321318,referent,
4185932000,17744,Chest pain or angina prevalent cohort: First condition occurrence of Chest pain or angina conceptset,The first condition record of chest pain or angina,321318003,321318,,
4185932000,17745,"Angina pectoris during hospitalization, defined by condition occurrences of Angina pectoris conceptset occurring between start and end of inpatient visit","Angina pectoris during hospitalization, defined by condition occurrences of 'Angina pectoris' conceptset occurring between start and end of inpatient visit",321318004,321318,,
4185932000,18661,Ischemic heart disease referent incident cohort,"Persons with condition occurrence of referent concept (4185932) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",4185932001,4185932,referent,
4185932000,18660,Ischemic heart disease referent prevalent cohort,"Persons with condition occurrence of referent concept (4185932) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",4185932002,4185932,referent,
