phenotypeId,webApiCohortId,cohortName,logicDescription,cohortId
380378000,17479,[PL 380378001] Epilepsy referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,"Persons with condition occurrence of referent concept (380378) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",380378001
380378000,17478,[PL 380378002] Epilepsy referent concept prevalent cohort: First occurrence of referent concept + descendants,"Persons with condition occurrence of referent concept (380378) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",380378002
380378000,17833,[PL 380378003] Epilepsy/seizure disorder concept set incident cohort: First occurrence of epilepsy/seizure disorder concept set with >=365d prior observation (adding parents with additional exclusions),,380378003
380378000,17834,[PL 380378004] Epilepsy/seizure disorder concept set incident cohort: First occurrence of epilepsy/seizure disorder concept set with >=365d prior observation (adding parents with additional exclusions - require 2nd Dx within 30 days),,380378004
380378000,18379,[PL 380378005] Epilepsy incident cohort: First occurrence of Seizures (excludes concept that may represent a short term seizures) + descendants with >=365d prior observation,,380378005
380378000,18833,[PL 380378006] Epilepsy Christensen 1,Epilepsy Christensen (2007) 1+ codes,380378006
380378000,18834,[PL 380378007] Epilepsy Jette 1,Epilepsy Jette (2010) 1+ codes inpatient,380378007
380378000,18835,[PL 380378008] Epilepsy Moura 1,Epilepsy Moura (2017) 1+ codes + Anti-Epileptic Drug,380378008
380378000,18836,[PL 380378009] Epilepsy Pugh 1,Epilepsy Pugh (2008) 1+ codes + Anti-Epileptic Drug,380378009
380378000,18837,[PL 380378010] Epilepsy Tan 1,Epilepsy Tan (2015) 1+ codes in-patient,380378010
