phenotypeId,webApiCohortId,cohortName,logicDescription,cohortId,referentConceptId,cohortType,PMID,oldPhenotypeId,referentConceptName
437082000,17403,[PL 437082001] Ankylosing spondylitis referent concept incident cohort: First occurrence of referent concept + descendants with >=365d prior observation,"Persons with condition occurrence of referent concept (437082) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",437082001,437082,referent,NA,437082000,Ankylosing spondylitis
437082000,17402,[PL 437082002] Ankylosing spondylitis referent concept prevalent cohort: First occurrence of referent concept + descendants,"Persons with condition occurrence of referent concept (437082) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",437082002,437082,referent,NA,437082000,Ankylosing spondylitis
437082000,10761,[PL 437082004] Ankylosing spondylitis or (inflammatory spondylopathy with investigations) indexed at earliest treatment,"All events of Ankylosing spondylitis or inflammatory spondylopathy with investigations with 365 days prior continuous observation, restricted to the earliest of having on of treatment (NSAIDs, Sulfasalazine, biologic or methotrexate) in the 90days before or after the index date. Cohort exit is the end of continuous observable time for the person.",437082004,437082,NA,NA,437082000,Ankylosing spondylitis
437082000,17140,[PL 437082005] Axial spondyloarthritis at first diagnosis,All events of Spondyloarthritis at first diagnosis with 365 days prior continuous observation. Cohort exit is the end of continuous observable time for the person.,437082005,437082,NA,NA,437082000,Ankylosing spondylitis
437082000,18871,[PL 437082006] Ankylosing spondylitis Curtis 2,Ankylosing spondylitis Curtis (2016) 2+ codes,437082006,437082,literature,NA,437082000,Ankylosing spondylitis
437082000,18872,[PL 437082007] Ankylosing spondylitis Curtis 3,"Ankylosing spondylitis Curtis (2016) 1+ codes, rheumatology",437082007,437082,literature,NA,437082000,Ankylosing spondylitis
437082000,18873,[PL 437082008] Ankylosing spondylitis Curtis 4,"Ankylosing spondylitis Curtis (2016) 2+ codes, rheumatology",437082008,437082,literature,NA,437082000,Ankylosing spondylitis
437082000,18874,[PL 437082009] Ankylosing spondylitis Dubreuil 1,Ankylosing spondylitis Dubreuil  (2017) 1+ codes,437082009,437082,literature,NA,437082000,Ankylosing spondylitis
437082000,18875,[PL 437082010] Ankylosing spondylitis Dubreuil 2,Ankylosing spondylitis Dubreuil  (2017) 2+ codes ? 7 days apart,437082010,437082,literature,NA,437082000,Ankylosing spondylitis
437082000,18876,[PL 437082011] Ankylosing spondylitis Dubreuil 3,Ankylosing spondylitis Dubreuil  (2017) 1+ codesandabsence of OA code,437082011,437082,literature,NA,437082000,Ankylosing spondylitis
437082000,18877,[PL 437082012] Ankylosing spondylitis Dubreuil 4,Ankylosing spondylitis Dubreuil  (2017) 1+ codesandabsence of RA code,437082012,437082,literature,NA,437082000,Ankylosing spondylitis
437082000,18878,[PL 437082013] Ankylosing spondylitis Dubreuil 5,Ankylosing spondylitis Dubreuil  (2017) 1+ codesandDMARD or Biologic,437082013,437082,literature,NA,437082000,Ankylosing spondylitis
437082000,18879,[PL 437082014] Ankylosing spondylitis Dubreuil 6,Ankylosing spondylitis Dubreuil  (2017) 1+ codesandNSAID,437082014,437082,literature,NA,437082000,Ankylosing spondylitis
437082000,18870,[PL 437082015] Ankylosing spondylitis Curtis 1,Ankylosing spondylitis Curtis (2016) 2+ codes in primary care or 1+ codes in rheumatology,437082015,437082,literature,NA,437082000,Ankylosing spondylitis
